Cookie Name,Cookie Consent Category,Description
sfdc_lv2,1. Required,"Stores identity confirmation details for Experience Cloud users. If the cookie isn't set or it expires, users must repeat the identity confirmation process the next time that they log in. Identity confirmation requires a verification method such as SMS, an authenticator app, or a security key."
sfdc-stream,1. Required,Used to maintain a sticky (persistent) session on the salesforce.com domain. Makes sure that subsequent streaming requests are forwarded to the same server instance where the streaming subscription request was originally handled.
sid,1. Required,SessionID.
sid_Client,1. Required,Used to detect and prevent session tampering.
sidebarPinned,1. Required,Controls the state of the Salesforce Classic sidebar.
sitePreview,1. Required,Stores the authentication code for previewing the site. Preview mode doesn’t load without this cookie.
ssostartpage,1. Required,Identifies the Identity Provider (IdP) location for SSO; certain service provider initiated SSO requests can fail without this cookie.
SUCSP,1. Required,Used when the user identity that an administrator is assuming (via Log in to Experience as User) is a Customer Success Portal (CSP) user.
SUPRM,1. Required,Used when the user identity that an administrator is assuming (via Log in to Experience as) is a Partner Relationship Management (PRM) portal user.
useStandbyUrl,1. Required,Controls how quickly to set the standby URL when loading the softphone.
{UserId}_KMPage,2. Preferences,"In Salesforce Classic, used to read the last user selection for 'Find in View', 'Article Language', {DataCategory}, and 'Validation Status' in Article Management."
{UserId}_KnowledgePageDispatcher,2. Preferences,"In Salesforce Classic, used to remember the user selection to determine whether to show 'Articles' or 'My Drafts' view in Knowledge."
{UserId}_KnowledgePageFilter{DataCategory},2. Preferences,"In Salesforce Classic, used to remember the last user selection for the data category filter in Knowledge."
{UserId}_KnowledgePageFilterArticleArticleType,2. Preferences,"In Salesforce Classic, used to remember the last user selection for the article type filter for 'Articles' view in Knowledge."
{UserId}_KnowledgePageFilterArticlePublishStatus,2. Preferences,"In Salesforce Classic, used to remember the last user selection for the publish status filter for 'Articles' view in Knowledge."
{UserId}_KnowledgePageFilterArticleValidationStatus,2. Preferences,"In Salesforce Classic, used to remember the last user selection for the validation status filter for 'Articles' view in Knowledge."
{UserId}_KnowledgePageFilterLanguage,2. Preferences,"In Salesforce Classic, used to remember the last user selection for the language filter in Knowledge."
{UserId}_KnowledgePageFilterMyDraftArticleType,2. Preferences,"In Salesforce Classic, used to remember the last user selection for the article type filter for 'My Drafts' view in Knowledge."
{UserId}_KnowledgePageFilterMyDraftPublishStatus,2. Preferences,"In Salesforce Classic, used to remember the last user selection for publish status filter for 'My Drafts' view in Knowledge."
{UserId}_KnowledgePageFilterMyDraftValidationStatus,2. Preferences,"In Salesforce Classic, used to remember the last user selection for the validation status filter for 'My Drafts' view in Knowledge."
{UserId}_KnowledgePageSortFieldArticle,2. Preferences,"In Salesforce Classic, used to remember the last user selection for 'Sort by' for the 'Articles' view in Knowledge."
{UserId}_KnowledgePageSortFieldMyDraft,2. Preferences,"In Salesforce Classic, used to remember the last user selection for 'Sort by' for 'My Drafts' view in Knowledge."
activeView,2. Preferences,"In Salesforce Classic, used to remember the last user selection for 'Articles' or 'Translations' tab in Article Management."
AgentConsoleFE,2. Preferences,"In Salesforce Classic, used to remember the page style of the Agent Console."
AgentConsoleS,2. Preferences,"In Salesforce Classic, used to remember the page style of the Agent Console."
AgentConsoleY,2. Preferences,"In Salesforce Classic, used to remember the page style of the Agent Console."
AgentConsoleX,2. Preferences,"In Salesforce Classic, used to remember the page style of the Agent Console."
autocomplete,2. Preferences,Determines if the login page remembers the user's username.
caPanelState,2. Preferences,"Saves the open, closed, and height percent states of the calendar panel."
hideDevelopmentTools,2. Preferences,Used to determine whether to show the developer tools.
hideFilesWarningModal,2. Preferences,Stores the user acknowledgment that a public link to a Salesforce file is on email send. The warning window isn't continually shown after the user acknowledges this action.
hideIdentityDialog,2. Preferences,Hides the dialog box that informs that the current user is logged out when switching to another user.
ideaToggle,2. Preferences,Show the 'Ideas' list view or the 'Feed' list view.
iotcontextsplashdisable,2. Preferences,"For the IoT product, stores user preference of whether to show Context Splash popup."
login,2. Preferences,"If the user’s session has expired, used to fetch the username and populate it on the main login page when using the process builder app."
logouturl,2. Preferences,Stores the last logged in org for redirecting requests. Used for logging whether the cookie is present in site and community guest-user requests.
pc-unit,2. Preferences,Sets a preference for displaying platform cache units to either MB or KB.
PicassoViewMode,2. Preferences,Stores a user’s view mode selection for this Experience Builder site.
PreferredLanguage<18-char SiteID>,2. Preferences,Used to store the user language preference for language detection and localized user experience in LWR sites. Used to store the user language preference for language detection and localized user experience in LWR sites.
redirectionWarning,2. Preferences,Enables the customer to store URLs that are exempt from setting a redirect warning interstitial page on an allowlist.
showNewBuilderWarningMessage,2. Preferences,Used to show or hide a warning message for the new dashboard builder.
waveUserPrefFinderLeftNav,2. Preferences,Preference for left navigation UI in CRM Analytics.
waveUserPrefFinderListView,2. Preferences,Preference for displaying list views in CRM Analytics.
WelcomePanel,2. Preferences,Stores Experience Cloud preferences.
_ga,3. Statistics,A third-party cookie that’s used if the site admin chooses to track site users with a Google Analytics tracking ID.
<userId>expid_[site prefix],3. Statistics,Used to render pages based on specified brand.
alohaEpt,3. Statistics,Used to calculate the ExperiencePageTime on Salesforce Classic pages.
auraBrokenDefGraph,3. Statistics,Used to track when a Lightning page has malformed HTML.
calViewState,3. Statistics,Sets the inline calendar date state in Salesforce Classic (current week selected).
cqcid,3. Statistics,Used to track a guest shopper's browsing activity.
liveagent_invite_rejected_,3. Statistics,Instructs Live Agent not to reissue an invitation on the same domain. Deletion of this cookie degrades customer experience as they can get repeated invitations.
oinfo,3. Statistics,Tracks the last logged in org.
schgtclose,3. Statistics,"Deprecated feature, not used."
t,3. Statistics,Used to avoid duplicate access checks.
webact,3. Statistics,Used to collect metrics per page view for personalization.
