Cookie Translation Name,Cookie Name,Language,Description
{UserId}_KnowledgePageDispatcher fr-CA,{UserId}_KnowledgePageDispatcher,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser la sélection de l'utilisateur afin de déterminer s'il faut afficher la vue « Articles » ou « Mes brouillons » dans Knowledge."
{UserId}_KnowledgePageFilter{DataCategory} fr-CA,{UserId}_KnowledgePageFilter{DataCategory},fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de catégorie de données dans Knowledge."
{UserId}_KnowledgePageFilterArticleArticleType fr-CA,{UserId}_KnowledgePageFilterArticleArticleType,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de type d'article pour la vue « Articles » dans Knowledge."
{UserId}_KnowledgePageFilterArticlePublishStatus fr-CA,{UserId}_KnowledgePageFilterArticlePublishStatus,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de statut de publication pour la vue « Articles » dans Knowledge."
{UserId}_KnowledgePageFilterArticleValidationStatus fr-CA,{UserId}_KnowledgePageFilterArticleValidationStatus,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de statut de validation pour la vue « Articles » dans Knowledge."
{UserId}_KnowledgePageFilterLanguage fr-CA,{UserId}_KnowledgePageFilterLanguage,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de langue dans Knowledge."
{UserId}_KnowledgePageFilterMyDraftArticleType fr-CA,{UserId}_KnowledgePageFilterMyDraftArticleType,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de type d'article pour la vue « Mes brouillons » dans Knowledge."
{UserId}_KnowledgePageFilterMyDraftPublishStatus fr-CA,{UserId}_KnowledgePageFilterMyDraftPublishStatus,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de statut de publication pour la vue « Mes brouillons » dans Knowledge."
{UserId}_KnowledgePageFilterMyDraftValidationStatus fr-CA,{UserId}_KnowledgePageFilterMyDraftValidationStatus,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre d'état de validation de la vue « Mes brouillons » dans Knowledge."
{UserId}_KnowledgePageSortFieldArticle fr-CA,{UserId}_KnowledgePageSortFieldArticle,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour « Trier par » pour la vue « Articles » dans Knowledge."
{UserId}_KnowledgePageSortFieldMyDraft fr-CA,{UserId}_KnowledgePageSortFieldMyDraft,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour « Trier par » pour la vue « Mes brouillons » dans Knowledge."
activeView fr-CA,activeView,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour l'onglet « Articles » ou « Traductions » dans la gestion des articles."
AgentConsoleFE fr-CA,AgentConsoleFE,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser le style de page de la console de l'agent."
AgentConsoleS fr-CA,AgentConsoleS,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser le style de page de la console de l'agent."
AgentConsoleY fr-CA,AgentConsoleY,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser le style de page de la console de l'agent."
AgentConsoleX fr-CA,AgentConsoleX,fr-CA,"Dans Salesforce Classic, utilisé pour mémoriser le style de page de la console de l'agent."
autocomplete fr-CA,autocomplete,fr-CA,Détermine si la page de connexion mémorise le nom d'utilisateur de l'utilisateur.
caPanelState fr-CA,caPanelState,fr-CA,"Enregistre les états d'ouverture, de fermeture et de pourcentage de hauteur du panneau de calendrier."
hideDevelopmentTools fr-CA,hideDevelopmentTools,fr-CA,Utilisé pour déterminer s’il faut afficher les outils de développement.
hideFilesWarningModal fr-CA,hideFilesWarningModal,fr-CA,Stocke l'accusé de réception de l'utilisateur selon lequel un lien public vers un fichier Salesforce figure lors de l'envoi d'un e-mail. La fenêtre d'avertissement ne s'affiche pas en permanence une fois que l'utilisateur a reconnu cette action.
hideIdentityDialog fr-CA,hideIdentityDialog,fr-CA,Masque la boîte de dialogue qui informe que l'utilisateur actuel est déconnecté lors du passage à un autre utilisateur.
ideaToggle fr-CA,ideaToggle,fr-CA,Afficher la vue de liste « Idées » ou la vue de liste « Flux ».
iotcontextsplashdisable fr-CA,iotcontextsplashdisable,fr-CA,"Pour le produit IoT, stocke les préférences de l'utilisateur quant à l'affichage ou non de la fenêtre contextuelle Context Splash."
login fr-CA,login,fr-CA,"Si la session de l'utilisateur a expiré, utilisé pour récupérer le nom d'utilisateur et le renseigner sur la page de connexion principale lors de l'utilisation de l'application de création de processus."
logouturl fr-CA,logouturl,fr-CA,Stocke la dernière organisation connectée pour rediriger les demandes. Utilisé pour enregistrer si le cookie est présent dans les demandes des utilisateurs invités du site et de la communauté.
pc-unit fr-CA,pc-unit,fr-CA,Définit une préférence pour l'affichage des unités de cache de plate-forme sur Mo ou Ko.
PicassoViewMode fr-CA,PicassoViewMode,fr-CA,Stocke la sélection du mode d’affichage d’un utilisateur pour ce site Experience Builder.
PreferredLanguage<18-char SiteID> fr-CA,PreferredLanguage<18-char SiteID>,fr-CA,Utilisé pour stocker la préférence de langue de l'utilisateur pour la détection de la langue et l'expérience utilisateur localisée dans les sites LWR. Utilisé pour stocker la préférence de langue de l'utilisateur pour la détection de la langue et l'expérience utilisateur localisée dans les sites LWR.
redirectionWarning fr-CA,redirectionWarning,fr-CA,Permet au client de stocker les URL qui sont exemptées de la définition d'une page interstitielle d'avertissement de redirection sur une liste verte.
showNewBuilderWarningMessage fr-CA,showNewBuilderWarningMessage,fr-CA,Utilisé pour afficher ou masquer un message d'avertissement pour le nouveau générateur de tableau de bord.
waveUserPrefFinderLeftNav fr-CA,waveUserPrefFinderLeftNav,fr-CA,Préférence pour l'interface utilisateur de navigation à gauche dans CRM Analytics.
waveUserPrefFinderListView fr-CA,waveUserPrefFinderListView,fr-CA,Préférence pour l'affichage des vues de liste dans CRM Analytics.
WelcomePanel fr-CA,WelcomePanel,fr-CA,Stocke les préférences Experience Cloud.
_ga fr-CA,_ga,fr-CA,Un cookie tiers utilisé si l'administrateur du site choisit de suivre les utilisateurs du site avec un identifiant de suivi Google Analytics.
<userId>expid_[site prefix] fr-CA,<userId>expid_[site prefix],fr-CA,Utilisé pour afficher les pages en fonction de la marque spécifiée.
alohaEpt fr-CA,alohaEpt,fr-CA,Utilisé pour calculer ExperiencePageTime sur les pages Salesforce Classic.
auraBrokenDefGraph fr-CA,auraBrokenDefGraph,fr-CA,Utilisé pour suivre lorsqu'une page Lightning contient du code HTML mal formé.
calViewState fr-CA,calViewState,fr-CA,Définit l'état de la date du calendrier en ligne dans Salesforce Classic (semaine en cours sélectionnée).
cqcid fr-CA,cqcid,fr-CA,Utilisé pour suivre l'activité de navigation d'un acheteur invité.
liveagent_invite_rejected_ fr-CA,liveagent_invite_rejected_,fr-CA,Demande à Live Agent de ne pas réémettre une invitation sur le même domaine. La suppression de ce cookie dégrade l'expérience client car ils peuvent recevoir des invitations répétées.
oinfo fr-CA,oinfo,fr-CA,Suit la dernière organisation connectée.
schgtclose fr-CA,schgtclose,fr-CA,"Fonctionnalité obsolète, non utilisée."
t fr-CA,t,fr-CA,Utilisé pour éviter les contrôles d'accès en double.
webact fr-CA,webact,fr-CA,Utilisé pour collecter des métriques par page vue à des fins de personnalisation.
