Cookie Translation Name,Cookie Name,Language,Description
SUCSP fr,SUCSP,fr,Utilisé lorsque l'identité d'utilisateur assumée par un administrateur (via la connexion à l'expérience en tant qu'utilisateur) est un utilisateur du Customer Success Portal (CSP).
SUPRM fr,SUPRM,fr,Utilisé lorsque l'identité d'utilisateur qu'un administrateur assume (via Se connecter à l'expérience en tant que) est un utilisateur du portail Partner Relationship Management (PRM).
useStandbyUrl fr,useStandbyUrl,fr,Contrôle la rapidité avec laquelle définir l'URL de veille lors du chargement du softphone.
{UserId}_KMPage fr,{UserId}_KMPage,fr,"Dans Salesforce Classic, utilisé pour lire la dernière sélection de l'utilisateur pour « Rechercher dans la vue », « Langue de l'article », {DataCategory} et « Statut de validation » dans la gestion des articles."
{UserId}_KnowledgePageDispatcher fr,{UserId}_KnowledgePageDispatcher,fr,"Dans Salesforce Classic, utilisé pour mémoriser la sélection de l'utilisateur afin de déterminer s'il faut afficher la vue « Articles » ou « Mes brouillons » dans Knowledge."
{UserId}_KnowledgePageFilter{DataCategory} fr,{UserId}_KnowledgePageFilter{DataCategory},fr,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de catégorie de données dans Knowledge."
{UserId}_KnowledgePageFilterArticleArticleType fr,{UserId}_KnowledgePageFilterArticleArticleType,fr,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de type d'article pour la vue « Articles » dans Knowledge."
{UserId}_KnowledgePageFilterArticlePublishStatus fr,{UserId}_KnowledgePageFilterArticlePublishStatus,fr,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de statut de publication pour la vue « Articles » dans Knowledge."
{UserId}_KnowledgePageFilterArticleValidationStatus fr,{UserId}_KnowledgePageFilterArticleValidationStatus,fr,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de statut de validation pour la vue « Articles » dans Knowledge."
{UserId}_KnowledgePageFilterLanguage fr,{UserId}_KnowledgePageFilterLanguage,fr,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de langue dans Knowledge."
{UserId}_KnowledgePageFilterMyDraftArticleType fr,{UserId}_KnowledgePageFilterMyDraftArticleType,fr,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de type d'article pour la vue « Mes brouillons » dans Knowledge."
{UserId}_KnowledgePageFilterMyDraftPublishStatus fr,{UserId}_KnowledgePageFilterMyDraftPublishStatus,fr,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre de statut de publication pour la vue « Mes brouillons » dans Knowledge."
{UserId}_KnowledgePageFilterMyDraftValidationStatus fr,{UserId}_KnowledgePageFilterMyDraftValidationStatus,fr,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour le filtre d'état de validation de la vue « Mes brouillons » dans Knowledge."
{UserId}_KnowledgePageSortFieldArticle fr,{UserId}_KnowledgePageSortFieldArticle,fr,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour « Trier par » pour la vue « Articles » dans Knowledge."
{UserId}_KnowledgePageSortFieldMyDraft fr,{UserId}_KnowledgePageSortFieldMyDraft,fr,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour « Trier par » pour la vue « Mes brouillons » dans Knowledge."
activeView fr,activeView,fr,"Dans Salesforce Classic, utilisé pour mémoriser la dernière sélection de l'utilisateur pour l'onglet « Articles » ou « Traductions » dans la gestion des articles."
AgentConsoleFE fr,AgentConsoleFE,fr,"Dans Salesforce Classic, utilisé pour mémoriser le style de page de la console de l'agent."
AgentConsoleS fr,AgentConsoleS,fr,"Dans Salesforce Classic, utilisé pour mémoriser le style de page de la console de l'agent."
AgentConsoleY fr,AgentConsoleY,fr,"Dans Salesforce Classic, utilisé pour mémoriser le style de page de la console de l'agent."
AgentConsoleX fr,AgentConsoleX,fr,"Dans Salesforce Classic, utilisé pour mémoriser le style de page de la console de l'agent."
autocomplete fr,autocomplete,fr,Détermine si la page de connexion mémorise le nom d'utilisateur de l'utilisateur.
caPanelState fr,caPanelState,fr,"Enregistre les états d'ouverture, de fermeture et de pourcentage de hauteur du panneau de calendrier."
hideDevelopmentTools fr,hideDevelopmentTools,fr,Utilisé pour déterminer s’il faut afficher les outils de développement.
hideFilesWarningModal fr,hideFilesWarningModal,fr,Stocke l'accusé de réception de l'utilisateur selon lequel un lien public vers un fichier Salesforce figure lors de l'envoi d'un e-mail. La fenêtre d'avertissement ne s'affiche pas en permanence une fois que l'utilisateur a reconnu cette action.
hideIdentityDialog fr,hideIdentityDialog,fr,Masque la boîte de dialogue qui informe que l'utilisateur actuel est déconnecté lors du passage à un autre utilisateur.
ideaToggle fr,ideaToggle,fr,Afficher la vue de liste « Idées » ou la vue de liste « Flux ».
iotcontextsplashdisable fr,iotcontextsplashdisable,fr,"Pour le produit IoT, stocke les préférences de l'utilisateur quant à l'affichage ou non de la fenêtre contextuelle Context Splash."
login fr,login,fr,"Si la session de l'utilisateur a expiré, utilisé pour récupérer le nom d'utilisateur et le renseigner sur la page de connexion principale lors de l'utilisation de l'application de création de processus."
logouturl fr,logouturl,fr,Stocke la dernière organisation connectée pour rediriger les demandes. Utilisé pour enregistrer si le cookie est présent dans les demandes des utilisateurs invités du site et de la communauté.
pc-unit fr,pc-unit,fr,Définit une préférence pour l'affichage des unités de cache de plate-forme sur Mo ou Ko.
PicassoViewMode fr,PicassoViewMode,fr,Stocke la sélection du mode d’affichage d’un utilisateur pour ce site Experience Builder.
PreferredLanguage<18-char SiteID> fr,PreferredLanguage<18-char SiteID>,fr,Utilisé pour stocker la préférence de langue de l'utilisateur pour la détection de la langue et l'expérience utilisateur localisée dans les sites LWR. Utilisé pour stocker la préférence de langue de l'utilisateur pour la détection de la langue et l'expérience utilisateur localisée dans les sites LWR.
redirectionWarning fr,redirectionWarning,fr,Permet au client de stocker les URL qui sont exemptées de la définition d'une page interstitielle d'avertissement de redirection sur une liste verte.
showNewBuilderWarningMessage fr,showNewBuilderWarningMessage,fr,Utilisé pour afficher ou masquer un message d'avertissement pour le nouveau générateur de tableau de bord.
waveUserPrefFinderLeftNav fr,waveUserPrefFinderLeftNav,fr,Préférence pour l'interface utilisateur de navigation à gauche dans CRM Analytics.
waveUserPrefFinderListView fr,waveUserPrefFinderListView,fr,Préférence pour l'affichage des vues de liste dans CRM Analytics.
WelcomePanel fr,WelcomePanel,fr,Stocke les préférences Experience Cloud.
_ga fr,_ga,fr,Un cookie tiers utilisé si l'administrateur du site choisit de suivre les utilisateurs du site avec un identifiant de suivi Google Analytics.
<userId>expid_[site prefix] fr,<userId>expid_[site prefix],fr,Utilisé pour afficher les pages en fonction de la marque spécifiée.
alohaEpt fr,alohaEpt,fr,Utilisé pour calculer ExperiencePageTime sur les pages Salesforce Classic.
auraBrokenDefGraph fr,auraBrokenDefGraph,fr,Utilisé pour suivre lorsqu'une page Lightning contient du code HTML mal formé.
calViewState fr,calViewState,fr,Définit l'état de la date du calendrier en ligne dans Salesforce Classic (semaine en cours sélectionnée).
cqcid fr,cqcid,fr,Utilisé pour suivre l'activité de navigation d'un acheteur invité.
liveagent_invite_rejected_ fr,liveagent_invite_rejected_,fr,Demande à Live Agent de ne pas réémettre une invitation sur le même domaine. La suppression de ce cookie dégrade l'expérience client car ils peuvent recevoir des invitations répétées.
oinfo fr,oinfo,fr,Suit la dernière organisation connectée.
schgtclose fr,schgtclose,fr,"Fonctionnalité obsolète, non utilisée."
t fr,t,fr,Utilisé pour éviter les contrôles d'accès en double.
webact fr,webact,fr,Utilisé pour collecter des métriques par page vue à des fins de personnalisation.
